Title,Author,Total,Unique
Moby Dick,Herman Melville,1120,608
Infinite Jest,David Foster Wallace,979,583
Gravity's Rainbow,Thomas Pynchon,703,435
Anna Karenina,Leo Tolstoy,640,407
Ulysses,James Joyce,670,393
Stoner,John Williams,797,363
Blood Meridian,Cormac McCarthy,676,357
Lolita,Vladimir Nabokov,718,327
Middlemarch,George Eliot,572,321
War and Peace,Leo Tolstoy,414,302
The Brothers Karamazov,Fyodor Dostoevsky,380,298
Crime and Punishment,Fyodor Dostoevsky,384,295
2666,Roberto Bolaño,705,289
The Magic Mountain,Thomas Mann,332,260
East of Eden,John Steinbeck,355,236
Suttree,Cormac McCarthy,463,228
My Struggle,Karl Ove Knausgård,343,220
The Crying of Lot 49,Thomas Pynchon,277,217
Don Quixote,Miguel de Cervantes,325,214
Pale Fire,Vladimir Nabokov,346,212
The Idiot,Fyodor Dostoevsky,302,208
The Bible,King James Version,418,205
White Noise,Don DeLillo,321,201
Wuthering Heights,Emily Brontë,300,196
Solenoid,Mircea Cărtărescu,376,195
The Master and Margarita,Mikhail Bulgakov,217,186
Mason & Dixon,Thomas Pynchon,258,181
A Confederacy of Dunces,John Kennedy Toole,232,180
The Road,Cormac McCarthy,302,180
The Secret History,Donna Tartt,253,179
Notes from the Underground,Fyodor Dostoevsky,204,178
The Odyssey,Homer,279,175
The Catcher in the Rye,J. D. Salinger,218,174
Jane Eyre,Charlotte Brontë,258,167
The Iliad,Homer,289,166
My Year of Rest and Relaxation,Ottessa Moshfegh,197,165
American Psycho,Bret Easton Ellis,265,164
Septology,Jon Fosse,241,151
Dubliners,James Joyce,239,151
Lonesome Dove,Larry McMurtry,248,150
Underworld,Don DeLillo,264,150
The Corrections,Jonathan Franzen,275,146
To the Lighthouse,Virginia Woolf,193,144
Frankenstein,Mary Shelley,259,141
The Sound and the Fury,William Faulkner,178,139
The Bell Jar,Sylvia Plath,169,139
The Metamorphosis,Franz Kafka,154,138
The Stranger,Albert Camus,170,135
The Passenger,Cormac McCarthy,203,135
Inherent Vice,Thomas Pynchon,200,134
Libra,Don DeLillo,291,134
One Hundred Years of Solitude,Gabriel García Márquez,166,134
The Recognitions,William Gaddis,196,132
As I Lay Dying,William Faulkner,197,131
Mrs Dalloway,Virginia Woolf,166,131
The Great Gatsby,F. Scott Fitzgerald,204,128
Steppenwolf,Hermann Hesse,175,126
Madame Bovary,Gustave Flaubert,174,125
The Shards,Bret Easton Ellis,223,125
The Tunnel,William H. Gass,176,124
The Remains of the Day,Kazuo Ishiguro,163,122
Brideshead Revisited,Evelyn Waugh,156,122
Against the Day,Thomas Pynchon,157,120
The Last Samurai,Helen DeWitt,154,120
Jesus' Son,Denis Johnson,149,119
Lapvona,Ottessa Moshfegh,208,117
Eileen,Ottessa Moshfegh,205,116
The Elementary Particles,Michel Houellebecq,162,116
Swann's Way,Marcel Proust,158,116
Vineland,Thomas Pynchon,210,115
Journey to the End of the Night,Louis-Ferdinand Céline,138,115
"Absalom, Absalom!",William Faulkner,163,114
Finnegans Wake,James Joyce,138,112
The Sun Also Rises,Ernest Hemingway,162,111
In Search of Lost Time,Marcel Proust,139,109
American Pastoral,Philip Roth,203,108
Franny and Zooey,J. D. Salinger,124,108
The Book of Disquiet,Fernando Pessoa,127,107
Less Than Zero,Bret Easton Ellis,145,106
American Tabloid,James Ellroy,137,106
Portnoy's Complaint,Philip Roth,131,106
Paradise Lost,John Milton,167,105
V.,Thomas Pynchon,256,104
The Rings of Saturn,W. G. Sebald,138,104
Pnin,Vladimir Nabokov,310,103
1984,George Orwell,200,103
Invisible Cities,Italo Calvino,134,101
House of Leaves,Mark Z. Danielewski,137,101
Play It as It Lays,Joan Didion,133,101
Annihilation,Michel Houellebecq,137,100
Hunger,Knut Hamsun,119,99
The Name of the Rose,Umberto Eco,121,99
Slaughterhouse-Five,Kurt Vonnegut,110,98
Hamlet,William Shakespeare,174,97
Catch-22,Joseph Heller,120,97
JR,William Gaddis,173,97
The Sluts,Dennis Cooper,129,95
The Passion According to G.H.,Clarice Lispector,109,94
Satantango,László Krasznahorkai,171,94
The Death of Ivan Ilyich,Leo Tolstoy,110,94
Submission,Michel Houellebecq,181,93
Giovanni's Room,James Baldwin,115,93
Siddhartha,Hermann Hesse,137,93
Rebecca,Daphne du Maurier,141,92
Normal People,Sally Rooney,161,92
Kafka on the Shore,Haruki Murakami,123,92
The Trial,Franz Kafka,121,92
No Longer Human,Dazai Osamu,118,92
Norwegian Wood,Haruki Murakami,143,91
All the Pretty Horses,Cormac McCarthy,120,90
Dune,Frank Herbert,147,90
Piranesi,Susanna Clarke,149,88
The Waves,Virginia Woolf,135,88
Gilead,Marilynne Robinson,142,88
The Pale King,David Foster Wallace,103,88
Crossroads,Jonathan Franzen,195,87
Harry Potter,J. K. Rowling,150,87
The Goldfinch,Donna Tartt,134,86
Stella Maris,Cormac McCarthy,133,85
If on a Winter's Night a Traveler,Italo Calvino,94,85
The Morning Star,Karl Ove Knausgård,124,84
My Brilliant Friend,Elena Ferrante,124,84
Crash,J. G. Ballard,139,84
The Grapes of Wrath,John Steinbeck,106,84
Convenience Store Woman,Sayaka Murata,113,83
Austerlitz,W. G. Sebald,168,82
Ficciones,Jorge Luis Borges,114,82
Pride and Prejudice,Jane Austen,98,81
Naked Lunch,William S. Burroughs,98,80
Butcher's Crossing,John Williams,104,80
Pedro Páramo,Juan Rulfo,110,80
The Power Broker,Robert A. Caro,105,79
Tropic of Cancer,Henry Miller,107,79
The Savage Detectives,Roberto Bolaño,122,78
A Little Life,Hanya Yanagihara,107,78
By Night in Chile,Roberto Bolaño,101,77
Bleeding Edge,Thomas Pynchon,122,77
Under the Volcano,Malcolm Lowry,106,77
Heart of Darkness,Joseph Conrad,105,77
The Lord of the Rings,J.R.R. Tolkien,85,77
The Count of Monte Cristo,Alexandre Dumas,89,77
Walden,Henry David Thoreau,111,77
Serotonin,Michel Houellebecq,148,76
The Piano Teacher,Elfriede Jelinek,85,76
Freedom,Jonathan Franzen,180,75
Confessions of a Mask,Mishima Yukio,89,75
Beloved,Toni Morrison,109,74
Demons,Fyodor Dostoevsky,112,74
The Loser,Thomas Bernhard,94,74
Disgrace,J. M. Coetzee,106,74
Wolf Hall,Hilary Mantel,122,73
Woodcutters,Thomas Bernhard,103,73
Lincoln in the Bardo,George Saunders,102,73
Rejection,Tony Tulathimutte,127,72
The Old Man and the Sea,Ernest Hemingway,92,71
The Magus,John Fowles,101,70
1Q84,Haruki Murakami,137,70
Glamorama,Bret Easton Ellis,113,69
Either/Or,Søren Kierkegaard,103,69
Book of the New Sun,Gene Wolfe,96,69
The Wind-Up Bird Chronicle,Haruki Murakami,82,68
The Picture of Dorian Gray,Oscar Wilde,72,68
Child of God,Cormac McCarthy,89,67
Nightwood,Djuna Barnes,85,67
A Visit from the Goon Squad,Jennifer Egan,102,66
Das Kapital,Karl Marx,120,66
Light in August,William Faulkner,101,66
Hard Rain Falling,Don Carpenter,94,66
On the Road,Jack Kerouac,86,66
All Fours,Miranda July,102,66
A Farewell to Arms,Ernest Hemingway,74,65
Europe Central,William T. Vollmann,94,65
Culture of Narcissism,Christopher Lasch,79,65
Intermezzo,Sally Rooney,100,64
The Unbearable Lightness of Being,Milan Kundera,72,64
A Sport and a Pastime,James Salter,70,64
Buddenbrooks,Thomas Mann,95,64
Sexual Personae,Camille Paglia,91,64
Sometimes a Great Notion,Ken Kesey,78,63
Capitalist Realism,Mark Fisher,85,63
Ice,Anna Kavan,114,63
White Teeth,Zadie Smith,121,63
Dracula,Bram Stoker,104,63
Divine Comedy,Dante Alighieri,70,62
Against Nature,Joris-Karl Huysmans,74,62
No Country for Old Men,Cormac McCarthy,71,62
Train Dreams,Denis Johnson,103,62
Huckleberry Finn,Mark Twain,119,62
The Netanyahus,Joshua Cohen,83,61
Homesick For Another World,Ottessa Moshfegh,66,61
Augustus,John Williams,91,61
In Cold Blood,Truman Capote,75,61
Antkind,Charlie Kaufman,86,61
The Tartar Steppe,Dino Buzzati,68,60
For Whom the Bell Tolls,Ernest Hemingway,74,60
The Neapolitan Novels,Elena Ferrante,67,60
Platform,Michel Houellebecq,95,59
We Have Always Lived in the Castle,Shirley Jackson,67,59
The Vegetarian,Han Kang,90,59
Life and Fate,Vasiliĭ Semenovich Grossman,81,59
Nausea,Jean-Paul Sartre,67,59
Bartleby the Scrivener,Herman Melville,70,59
Never Let Me Go,Kazuo Ishiguro,96,58
A Portrait of the Artist as a Young Man,James Joyce,63,58
The Man Without Qualities,Robert Musil,66,58
Good Old Neon,David Foster Wallace,69,57
The Guest,Emma Cline,80,57
No One Is Talking About This,Patricia Lockwood,70,57
House of Mirth,Edith Wharton,64,57
Brave New World,Aldous Huxley,94,57
Mating,Norman Rush,88,57
Cannery Row,John Steinbeck,73,56
Valis,Philip K. Dick,78,56
Temple of the Golden Pavilion,Mishima Yukio,64,56
Love in the Time of Cholera,Gabriel García Márquez,63,56
Ada,Vladimir Nabokov,100,55
Slouching Towards Bethlehem,Joan Didion,83,55
Thus Spoke Zarathustra,Friedrich Nietzsche,80,54
Anti-Oedipus,Gilles Deleuze,77,54
I Who Have Never Known Men,Jacqueline Harpman,60,54
Agua Viva,Clarice Lispector,72,54
Wise Blood,Flannery O'Connor,75,54
Boy Parts,Eliza Clark,71,54
Gone Girl,Gillian Flynn,91,54
Bleak House,Charles Dickens,80,54
The Left Hand of Darkness,Ursula K. Le Guin,60,53
Leaving the Atocha Station,Ben Lerner,59,53
True Grit,Charles Portis,69,53
The Haunting of Hill House,Shirley Jackson,60,53
Macbeth,William Shakespeare,90,53
Story of the Eye,Georges Bataille,63,53
New York Trilogy,Paul Auster,67,53
Man's Search for Meaning,Viktor Frankl,55,52
The Crossing,Cormac McCarthy,87,52
Warlock,Oakley Hall,103,52
Demian,Hermann Hesse,65,52
The MANIAC,Benjamín Labatut,73,51
The Heart is a Lonely Hunter,Carson McCullers,61,51
"Speak, Memory",Vladimir Nabokov,69,50
Hyperion,Dan Simmons,69,50
Trainspotting,Irvine Welsh,84,50
The Mill on the Floss,George Eliot,65,50
Speedboat,Renata Adler,66,50
Orlando,Virginia Woolf,68,50
Breasts and Eggs,Mieko Kawakami,63,50
The White Album,Joan Didion,70,50
Bunny,Mona Awad,90,49
The Dead,James Joyce,77,49
Middlesex,Jeffrey Eugenides,89,49